,Actual_DT,Actual_ET,LI_8100_Vent,Multiplexer_CO2_1,Multiplexer_CO2_2,Multiplexer_CO2_3,Picarro_ANEM,Picarro_CO2,Vent_Anem_Temp
143,2019-08-29 08:58:00,1567090680.0,,1567090916,1567090916,1567090916,,,
144,2019-08-29 08:59:00,1567090740.0,,1567090977,1567090977,1567090977,,,
145,2019-08-29 09:00:00,1567090800.0,,1567091036,1567091036,1567091036,,,
146,2019-08-29 18:39:00,1567125540.0,,1567125778,1567125778,1567125778,,,
147,2019-08-29 18:40:00,1567125600.0,,1567125838,1567125837,1567125837,,,
148,2019-08-29 18:41:00,1567125660.0,,1567125898,1567125898,1567125899,,,
149,2019-08-30 08:57:00,1567177020.0,,1567177262,1567177262,1567177263,,,
150,2019-08-30 08:58:00,1567177080.0,,1567177322,1567177323,1567177323,,,
151,2019-08-30 08:59:00,1567177140.0,,1567177383,1567177383,1567177383,,,
152,2019-08-30 17:50:00,1567209000.0,,1567209245,1567209245,1567209245,,,
153,2019-08-30 17:51:00,1567209060.0,,1567209306,1567209306,1567209306,,,
154,2019-08-30 17:52:00,1567209120.0,,1567209365,1567209365,1567209365,,,
155,2019-09-04 08:38:00,1567607880.0,,1567608162,1567608162,1567608162,,,
156,2019-09-04 08:39:00,1567607940.0,,1567608221,1567608221,1567608221,,,
157,2019-09-04 08:40:00,1567608000.0,,1567608282,1567608282,1567608282,,,
158,2019-09-05 08:25:00,1567693500.0,,1567693790,1567693790,1567693790,,,
159,2019-09-05 08:26:00,1567693560.0,,1567693851,1567693851,1567693851,,,
160,2019-09-05 08:27:00,1567693620.0,,1567693910,1567693910,1567693910,,,
161,2019-09-09 09:32:00,1568043120.0,,1568043443,1568043444,1568043444,,,
162,2019-09-09 09:33:00,1568043180.0,,1568043503,1568043504,1568043504,,,
163,2019-09-09 09:34:00,1568043240.0,,1568043563,1568043563,1568043564,,,
164,2019-09-09 20:02:00,1568080920.0,,1568081247,1568081248,1568081247,,,
165,2019-09-09 20:03:00,1568080980.0,,1568081307,1568081307,1568081307,,,
166,2019-09-09 20:04:00,1568081040.0,,1568081367,1568081367,1568081367,,,
167,2019-09-10 08:25:00,1568125500.0,,1568125832,1568125832,1568125832,,,
168,2019-09-10 08:26:00,1568125560.0,,1568125892,1568125891,1568125892,,,
169,2019-09-12 08:30:00,1568298600.0,,1568298935,1568298935,1568298935,,,
170,2019-09-12 08:32:00,1568298720.0,,1568299054,1568299055,1568299055,,,
171,2019-08-29 08:32:00,1567089120.0,1567089514,,,,,,
172,2019-08-29 08:33:00,1567089180.0,1567089574,,,,,,
173,2019-08-29 08:34:00,1567089240.0,1567089634,,,,,,
174,2019-08-29 18:48:00,1567126080.0,1567126473,,,,,,
175,2019-08-29 18:49:00,1567126140.0,1567126533,,,,,,
176,2019-08-29 18:50:00,1567126200.0,1567126593,,,,,,
177,2019-08-30 08:45:00,1567176300.0,1567176701,,,,,,
178,2019-08-30 08:46:00,1567176360.0,1567176762,,,,,,
179,2019-08-30 08:47:00,1567176420.0,1567176822,,,,,,
180,2019-08-30 17:59:00,1567209540.0,1567209941,,,,,,
181,2019-08-30 18:00:00,1567209600.0,1567210001,,,,,,
182,2019-08-30 18:01:00,1567209660.0,1567210061,,,,,,
183,2019-09-04 08:22:00,1567606920.0,1567607361,,,,,,
184,2019-09-04 08:23:00,1567606980.0,1567607421,,,,,,
185,2019-09-04 08:24:00,1567607040.0,1567607481,,,,,,
186,2019-09-05 08:31:00,1567693860.0,1567694308,,,,,,
187,2019-09-05 08:32:00,1567693920.0,1567694367,,,,,,
188,2019-09-05 08:33:00,1567693980.0,1567694428,,,,,,
189,2019-09-06 18:18:00,1567815480.0,1567815924,,,,,,
190,2019-09-06 18:19:00,1567815540.0,1567815984,,,,,,
191,2019-09-06 18:20:00,1567815600.0,1567816044,,,,,,
192,2019-09-09 08:50:00,1568040600.0,1568041080,,,,,,
193,2019-09-09 08:51:00,1568040660.0,1568041140,,,,,,
194,2019-09-09 08:52:00,1568040720.0,1568041199,,,,,,
195,2019-09-09 20:09:00,1568081340.0,1568081819,,,,,,
196,2019-09-09 20:10:00,1568081400.0,1568081878,,,,,,
197,2019-09-09 20:11:00,1568081460.0,1568081938,,,,,,
198,2019-09-10 08:36:00,1568126160.0,1568126647,,,,,,
199,2019-09-10 08:37:00,1568126220.0,1568126707,,,,,,
200,2019-09-10 08:38:00,1568126280.0,1568126767,,,,,,
201,2019-09-10 18:51:00,1568163060.0,1568163546,,,,,,
202,2019-09-10 18:52:00,1568163120.0,1568163606,,,,,,
203,2019-09-10 18:53:00,1568163180.0,1568163666,,,,,,
204,2019-09-11 08:46:00,1568213160.0,1568213656,,,,,,
205,2019-09-11 08:47:00,1568213220.0,1568213716,,,,,,
206,2019-09-11 08:48:00,1568213280.0,1568213776,,,,,,
207,2019-09-11 19:41:00,1568252460.0,1568252955,,,,,,
208,2019-09-11 19:42:00,1568252520.0,1568253015,,,,,,
209,2019-09-11 19:43:00,1568252580.0,1568253075,,,,,,
210,2019-09-12 08:44:00,1568299440.0,1568299943,,,,,,
211,2019-09-12 08:45:00,1568299500.0,1568300003,,,,,,
212,2019-09-12 17:05:00,1568329500.0,,,,,,1568329616.5,
213,2019-09-12 17:06:00,1568329560.0,,,,,,1568329676.4,
214,2019-09-12 17:07:00,1568329620.0,,,,,,1568329736.6,
215,2019-09-12 17:08:00,1568329680.0,,,,,,1568329796.5,
216,2019-09-13 09:21:00,1568388060.0,,,,,,1568388177.3,
217,2019-09-13 09:22:00,1568388120.0,,,,,,1568388237.2,
218,2019-09-13 09:23:00,1568388180.0,,,,,,1568388297.3,
219,2019-09-14 11:16:00,1568481360.0,,,,,,1568481478.3,
220,2019-09-14 11:17:00,1568481420.0,,,,,,1568481538.2,
221,2019-09-14 11:18:00,1568481480.0,,,,,,1568481597.9,
222,2019-09-16 08:40:00,1568644800.0,,,,,,1568644919.8,
223,2019-09-16 08:41:00,1568644860.0,,,,,,1568644979.8,
224,2019-09-16 08:42:00,1568644920.0,,,,,,1568645039.7,
225,2019-09-16 21:27:00,1568690820.0,,,,,,1568690940.3,
226,2019-09-16 21:28:00,1568690880.0,,,,,,1568691000.3,
227,2019-09-17 08:47:00,1568731620.0,,,,,,1568731740.9,
228,2019-09-17 08:48:00,1568731680.0,,,,,,1568731800.7,
229,2019-09-17 08:49:00,1568731740.0,,,,,,1568731860.7,
230,2019-09-17 18:35:00,1568766900.0,,,,,,1568767021.2,
